"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2701","updates todo and reflect changes in full list","chromium","Wed Jul 15 06:32:11 UTC 2026","passed","Wed Jul 15 06:32:14 UTC 2026","Todos API > PUT /api/todos/:id","api/todos.spec.ts","",""
"","2369","returns list of all user todos","webkit","Wed Jul 15 06:32:30 UTC 2026","passed","Wed Jul 15 06:32:32 UTC 2026","Todos API > GET /api/todos","api/todos.spec.ts","",""
"","2162","creates todo with valid data","firefox","Wed Jul 15 06:32:17 UTC 2026","passed","Wed Jul 15 06:32:19 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","3349","returns list of all user todos","chromium","Wed Jul 15 06:32:08 UTC 2026","passed","Wed Jul 15 06:32:11 UTC 2026","Todos API > GET /api/todos","api/todos.spec.ts","",""
"","2179","creates todo with valid data","webkit","Wed Jul 15 06:32:28 UTC 2026","passed","Wed Jul 15 06:32:30 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2235","removes specific todo of a user","webkit","Wed Jul 15 06:32:35 UTC 2026","passed","Wed Jul 15 06:32:37 UTC 2026","Todos API > DELETE /api/todos/:id","api/todos.spec.ts","",""
"","2254","removes specific todo of a user","chromium","Wed Jul 15 06:32:14 UTC 2026","passed","Wed Jul 15 06:32:16 UTC 2026","Todos API > DELETE /api/todos/:id","api/todos.spec.ts","",""
"","2806","updates todo and reflect changes in full list","firefox","Wed Jul 15 06:32:22 UTC 2026","passed","Wed Jul 15 06:32:25 UTC 2026","Todos API > PUT /api/todos/:id","api/todos.spec.ts","",""
"","2761","updates todo and reflect changes in full list","webkit","Wed Jul 15 06:32:32 UTC 2026","passed","Wed Jul 15 06:32:35 UTC 2026","Todos API > PUT /api/todos/:id","api/todos.spec.ts","",""
"","2495","returns list of all user todos","firefox","Wed Jul 15 06:32:19 UTC 2026","passed","Wed Jul 15 06:32:22 UTC 2026","Todos API > GET /api/todos","api/todos.spec.ts","",""
"","2648","creates todo with valid data","chromium","Wed Jul 15 06:32:05 UTC 2026","passed","Wed Jul 15 06:32:08 UTC 2026","Todos API > POST /api/todos","api/todos.spec.ts","",""
"","2131","removes specific todo of a user","firefox","Wed Jul 15 06:32:25 UTC 2026","passed","Wed Jul 15 06:32:27 UTC 2026","Todos API > DELETE /api/todos/:id","api/todos.spec.ts","",""
